"covered_entity","state","covered_entity_type","individuals_affected","breach_submission_date","type_of_breach","location_of_breached_information","business_associate_present"
"Western Orthopaedics, P.C.","CO","Healthcare Provider","113330","05/01/2026","Hacking/IT Incident","Network Server","No"
"Integrated Pain Associates","TX","Healthcare Provider","500","05/01/2026","Hacking/IT Incident","Network Server","No"
"CUNNINGHAM PROSTHETIC CARE LLC","ME","Healthcare Provider","2523","05/01/2026","Hacking/IT Incident","Email","No"
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","551","05/01/2026","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"Capitol Pain Institute","CO","Healthcare Provider","695","05/01/2026","Hacking/IT Incident","Email","No"
"Mt. Spokane Pediatrics","WA","Healthcare Provider","32021","04/30/2026","Hacking/IT Incident","Network Server","No"
"Ouster, Inc.","CA","Health Plan","574","04/30/2026","Unauthorized Access/Disclosure","Network Server","No"
"Totem Lake Family Dentistry","WA","Healthcare Provider","3464","04/30/2026","Hacking/IT Incident","Email","No"
"Northwoods Surgery Center","MN","Healthcare Provider","5385","04/29/2026","Hacking/IT Incident","Network Server","No"
"Tri-Cities Gastroenterology","TN","Healthcare Provider","67115","04/29/2026","Hacking/IT Incident","Network Server","No"
"FMRS Health Systems, Inc.","WV","Healthcare Provider","500","04/28/2026","Hacking/IT Incident","Network Server","No"
"Belmont Aesthetic and Reconstructive Plastic Surgery","VA","Healthcare Provider","528","04/23/2026","Hacking/IT Incident","Network Server","No"
"Interim HealthCare of Lubbock","TX","Healthcare Provider","2071","04/23/2026","Hacking/IT Incident","Network Server","Yes"
"Liberty Bankers Life Ins. Co.","TX","Health Plan","20202","04/22/2026","Hacking/IT Incident","Network Server","Yes"
"Spokane Digestive Disease Center, P.S.","WA","Healthcare Provider","501","04/20/2026","Hacking/IT Incident","Email","No"
"Prime Care 12 Priority Health","WV","Healthcare Provider","1000","04/20/2026","Hacking/IT Incident","Network Server","No"
"ASC Ortho Management Company, LLC d/b/a Aligned Orthopedic Partners","MD","Healthcare Provider","7213","04/17/2026","Hacking/IT Incident","Email","No"
"University of Nebraska Medical Center","NE","Healthcare Provider","26937","04/17/2026","Hacking/IT Incident","Network Server","No"
"Innovative Scientific Solutions, LLC","SC","Healthcare Provider","143842","04/17/2026","Hacking/IT Incident","Network Server","No"
"Mazzola Mardon, P.C.","NY","Business Associate","2123","04/15/2026","Hacking/IT Incident","Network Server","Yes"
"City Health, a medical corporation","CA","Healthcare Provider","65000","04/14/2026","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"Defense Health Agency","VA","Health Plan","1300","04/14/2026","Unauthorized Access/Disclosure","Email","Yes"
"Springfield Hospital","VT","Healthcare Provider","5892","04/10/2026","Hacking/IT Incident","Email","No"
"CARE Clinic","MN","Healthcare Provider","500","04/10/2026","Hacking/IT Incident","Email","No"
"CardioFit Medical Group, Inc.","CA","Healthcare Provider","7243","04/09/2026","Unauthorized Access/Disclosure","Email","No"
"Heart South Cardiovascular Group","AL","Healthcare Provider","46666","04/06/2026","Hacking/IT Incident","Network Server","No"
"Hospital Caribbean Medical Center","","Healthcare Provider","92000","04/06/2026","Hacking/IT Incident","Network Server","No"
"Option Care Health, Inc.","IL","Healthcare Provider","1891","04/06/2026","Hacking/IT Incident","Email","No"
"LifeSpring Home Care","OK","Healthcare Provider","7509","04/06/2026","Hacking/IT Incident","Network Server, Other","Yes"
"Rocky Mountain Associated Physicians, P.C.","UT","Healthcare Provider","50640","04/03/2026","Hacking/IT Incident","Network Server","No"
"Village Heart Seller, PC d/b/a Village Heart & Vein Center","FL","Healthcare Provider","687","04/03/2026","Hacking/IT Incident","Email","No"
"Southern Illinois Dermatology","IL","Healthcare Provider","160312","04/02/2026","Hacking/IT Incident","Network Server","No"
"Interventional Pain Center, PLLC","TN","Healthcare Provider","3171","03/31/2026","Hacking/IT Incident","Email","No"
"Waterford Surgical Center","MI","Healthcare Provider","9000","03/30/2026","Hacking/IT Incident","Network Server","No"
"Austin Plastic and Reconstructive Surgery","TX","Healthcare Provider","4266","03/30/2026","Hacking/IT Incident","Network Server","No"
"Healthcare In Action","CA","Healthcare Provider","1143","03/30/2026","Hacking/IT Incident","Email, Network Server, Other","No"
"Cullen/Frost Bankers, Inc.","TX","Health Plan","4698","03/26/2026","Hacking/IT Incident","Network Server","Yes"
"CORPORACION DE SERVICIOS MEDICOS PRIMARIOS Y PREVENCION DE HATILLO","","Healthcare Provider","24236","03/26/2026","Hacking/IT Incident","Network Server","No"
"Amedisys","LA","Healthcare Provider","9111","03/26/2026","Hacking/IT Incident","Network Server","Yes"
"LHC Group","LA","Healthcare Provider","8644","03/26/2026","Hacking/IT Incident","Network Server","Yes"
"Securian Financial","MN","Health Plan","500","03/25/2026","Hacking/IT Incident","Network Server","Yes"
"Coastal Carolina Health Care, PA","NC","Healthcare Provider","110304","03/24/2026","Hacking/IT Incident","Network Server","No"
"Continental Casualty Company (CNA)","IL","Health Plan","6086","03/23/2026","Hacking/IT Incident","Network Server","Yes"
"Mays Housecall Home Health, Inc.","TX","Healthcare Provider","5208","03/21/2026","Hacking/IT Incident","Network Server, Other","Yes"
"Complete Eye Care dba Orem Eye Clinic","UT","Healthcare Provider","5800","03/19/2026","Hacking/IT Incident","Network Server, Other","No"
"The South Alabama Regional Planning Commission","AL","Business Associate","3043","03/18/2026","Hacking/IT Incident","Network Server","Yes"
"OpenLoop Health, Inc.","IA","Business Associate","716000","03/17/2026","Hacking/IT Incident","Network Server","Yes"
"Coastal Skin Surgery & Dermatology","FL","Healthcare Provider","6173","03/17/2026","Hacking/IT Incident","Network Server","Yes"
"Good Samaritan Health Center","GA","Healthcare Provider","10000","03/16/2026","Hacking/IT Incident","Network Server","No"
"Renovo Chiropractic & Wellness","WA","Healthcare Provider","538","03/16/2026","Theft","Other, Paper/Films","No"
"UPMC","PA","Healthcare Provider","687","03/14/2026","Unauthorized Access/Disclosure","Other","No"
"Trinity Health","MI","Business Associate","2740","03/13/2026","Unauthorized Access/Disclosure","Electronic Medical Record","Yes"
"Bloom Circle, Inc. d/b/a Lena Health","TX","Business Associate","3651","03/13/2026","Hacking/IT Incident","Network Server","Yes"
"MedPeds Associates of Sarasota","FL","Healthcare Provider","22017","03/13/2026","Hacking/IT Incident","Network Server","No"
"Team Select","AZ","Healthcare Provider","949","03/12/2026","Hacking/IT Incident","Network Server, Other","Yes"
"illumifin Corporation","MN","Business Associate","5385","03/10/2026","Hacking/IT Incident","Network Server","Yes"
"Delta Medical Systems","WI","Business Associate","1574","03/10/2026","Hacking/IT Incident","Email","Yes"
"Community Health Action of Staten Island","NY","Healthcare Provider","501","03/09/2026","Hacking/IT Incident","Email","No"
"Saint Anthony Hospital","IL","Healthcare Provider","146108","03/06/2026","Hacking/IT Incident","Email","No"
"Barrio Comprehensive Family Health Care Center","TX","Healthcare Provider","19971","03/06/2026","Hacking/IT Incident","Email","No"
"County of Murray dba Murray County Medical Center","MN","Healthcare Provider","5073","03/06/2026","Hacking/IT Incident","Email","No"
"North Texas Behavioral Health Authority","TX","Healthcare Provider","285086","03/06/2026","Hacking/IT Incident","Network Server","No"
"Exclusive Physicians PLLC","MI","Healthcare Provider","58000","03/06/2026","Hacking/IT Incident","Network Server","No"
"Metrocare","TX","Healthcare Provider","602","03/06/2026","Unauthorized Access/Disclosure","Email, Other Portable Electronic Device","No"
"Cedar Valley Hospice","IA","Healthcare Provider","10666","03/06/2026","Hacking/IT Incident","Network Server","No"
"Tieu Dental Corporation","CA","Healthcare Provider","8918","03/05/2026","Hacking/IT Incident","Network Server","No"
"Longevity Health Plan","FL","Health Plan","15000","03/04/2026","Hacking/IT Incident","Network Server","Yes"
"Kin Counseling Services PLLC","CO","Healthcare Provider","500","03/02/2026","Hacking/IT Incident","Email","No"
"Access Information Management Shared Services, LLC","MA","Business Associate","1522","02/28/2026","Hacking/IT Incident","Other","Yes"
"Insurance ACE/Humana Inc.","KY","Health Plan","1000","02/28/2026","Hacking/IT Incident","Network Server","Yes"
"Lakeside Pediatrics & Adolescent Medicine, PLLC","ID","Healthcare Provider","34154","02/27/2026","Hacking/IT Incident","Network Server","No"
"IPPC Inc., IPPC of New York LLC, and Innovative Pharmacy LLC (collectively “IPPC”)","NJ","Healthcare Provider","133862","02/27/2026","Hacking/IT Incident","Network Server","No"
"Nephrology Associates Medical Group, Inc","CA","Healthcare Provider","4631","02/27/2026","Hacking/IT Incident","Email","No"
"Aetna","CT","Business Associate","775","02/27/2026","Unauthorized Access/Disclosure","Paper/Films","Yes"
"Aetna","CT","Business Associate","10888","02/27/2026","Unauthorized Access/Disclosure","Paper/Films","Yes"
"Manhattan Retirement Foundation d/b/a Meadowlark Hills","KS","Healthcare Provider","14442","02/26/2026","Hacking/IT Incident","Network Server","No"
"BMG of Kansas, Inc.","KS","Health Plan","1327","02/26/2026","Hacking/IT Incident","Network Server","No"
"AltaMed Health Services Corporation","CA","Healthcare Provider","501","02/26/2026","Hacking/IT Incident","Network Server","No"
"Couve Healthcare Consulting, LLC DBA Evergreen Healthcare Group","WA","Business Associate","11795","02/24/2026","Hacking/IT Incident","Electronic Medical Record","Yes"
"Weill Cornell Medicine","NY","Healthcare Provider","516","02/23/2026","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"QualDerm Partners, LLC","TN","Healthcare Provider","3117874","02/22/2026","Hacking/IT Incident","Network Server","No"
"Option Care Health, Inc.","IL","Healthcare Provider","2086","02/20/2026","Hacking/IT Incident","Email","No"
"The Center for Advanced Eye Care","ME","Healthcare Provider","9300","02/20/2026","Hacking/IT Incident","Network Server, Other","No"
"VNS Behavioral Health Inc. (“VNS Health”)","NY","Healthcare Provider","739","02/18/2026","Hacking/IT Incident","Email","No"
"Builders FirstSource Flex Plan","TX","Health Plan","1514","02/18/2026","Hacking/IT Incident","Network Server","No"
"Emanuel Medical Center","GA","Healthcare Provider","28963","02/17/2026","Hacking/IT Incident","Network Server","No"
"Easterseals Northeast Indiana","IN","Healthcare Provider","3158","02/16/2026","Hacking/IT Incident","Network Server","No"
"44North","MI","Business Associate","2158","02/16/2026","Hacking/IT Incident","Desktop Computer","Yes"
"Wee Care Pediatrics, LLC","UT","Healthcare Provider","2127","02/14/2026","Hacking/IT Incident","Network Server","No"
"National Association on Drug Abuse Problems","NY","Healthcare Provider","90000","02/13/2026","Hacking/IT Incident","Network Server","No"
"VPS Medical PLLC","PA","Healthcare Provider","4600","02/13/2026","Hacking/IT Incident","Network Server","No"
"Academic Urology & Urogynecology of Arizona","AZ","Healthcare Provider","73281","02/13/2026","Hacking/IT Incident","Network Server","No"
"Cedar Valley Services","MN","Healthcare Provider","501","02/13/2026","Hacking/IT Incident","Network Server","No"
"Resource Corporation of America","TX","Business Associate","501","02/13/2026","Hacking/IT Incident","Network Server","Yes"
"Alexes Hazen MD, PLLC","NY","Healthcare Provider","500","02/12/2026","Hacking/IT Incident","Email, Network Server","No"
"Cedar Point Health, LLC","CO","Healthcare Provider","23114","02/12/2026","Hacking/IT Incident","Network Server","No"
"ApolloMD Business Services, LLC","GA","Business Associate","626540","02/10/2026","Hacking/IT Incident","Network Server","Yes"
"Counseling Center of Wayne & Holmes Counties","OH","Healthcare Provider","83354","02/09/2026","Hacking/IT Incident","Network Server","No"
"Wendy Foster OD","KS","Healthcare Provider","20000","02/09/2026","Hacking/IT Incident","Network Server","No"
"Carolina Foot & Ankle Associates","NC","Healthcare Provider","501","02/09/2026","Hacking/IT Incident","Network Server","No"
